Time,w_f_0,F_0,N1_0
113.95,0,1.75,33260.4
114,0,1.75,33280
114.05,0,1.75,33280
114.1,0,1.75,33280
114.15,0,1.7476,33280
114.2,0,1.7326,33289.4
114.25,0,1.72153846153846,33260.6
114.3,0,1.73115384615385,33290.3921568627
114.35,0,1.74194174757282,33310
114.4,0,1.76621359223301,33290
114.45,0,1.79,33290
114.5,0,1.79,33289.8039215686
114.55,0,1.79,33280
114.6,0,1.76718446601941,33310
114.65,0,1.74291262135922,33310
114.7,0,1.73145631067961,33310.2
114.75,0,1.72174757281553,33319.8
114.8,0,1.74786407766991,33310
114.85,0,1.78184466019418,33310.2
114.9,0,1.79368932038835,33320.4
114.95,0,1.79854368932039,33340
115,0,1.8,33339.6
115.05,0,1.8,33320
115.1,0,1.78523809523809,33320.4
115.15,0,1.76142857142857,33340
115.2,0,1.75504854368932,33340
115.25,0,1.7647572815534,33339.6
115.3,0,1.76549019607843,33320
115.35,0,1.7556862745098,33320
115.4,0,1.748,33320
115.45,0,1.74323809523809,33320
115.5,0,1.74,33320
115.55,0,1.74,33320
115.6,0,1.74,33319.8039215686
115.65,0,1.74,33310
115.7,0,1.74314285714286,33310
115.75,0,1.75742857142857,33310
115.8,0,1.77,33309.6
115.85,0,1.77,33290
115.9,0,1.77,33289.8
115.95,0,1.77,33279.6
116,0,1.77,33259.6
116.05,0,1.77,33240
116.1,0,1.77,33239.8
116.15,0,1.77,33230
116.2,0,1.77,33230
116.25,0,1.75752475247525,33230
116.3,0,1.74267326732673,33230
116.35,0,1.74398058252427,33229.6
116.4,0,1.74883495145631,33210.4
116.45,0,1.75,33229.6
116.5,0,1.75,33210
116.55,0,1.75,33210
116.6,0,1.75,33209.8
116.65,0,1.74698113207547,33200
116.7,0,1.7422641509434,33200.2
116.75,0,1.735,33209.8
116.8,0,1.72538461538461,33200.2
116.85,0,1.72,33210
116.9,0,1.72,33209.8
116.95,0,1.72403846153846,33200
117,0,1.73365384615385,33200
117.05,0,1.74165048543689,33199.6
117.1,0,1.74650485436893,33179.6
117.15,0,1.74865384615385,33159.8
117.2,0,1.74384615384615,33149.6
117.25,0,1.7380198019802,33130
117.3,0,1.72811881188118,33129.8039215686
117.35,0,1.72432692307693,33120
117.4,0,1.74836538461539,33120.2
117.45,0,1.77,33130
117.5,0,1.77,33130.4
117.55,0,1.76980582524272,33150
117.6,0,1.76009708737864,33150
117.65,0,1.75038834951456,33150.2
117.7,0,1.75,33159.8
117.75,0,1.75,33150
117.8,0,1.75843137254902,33150
117.85,0,1.76823529411765,33150
117.9,0,1.77,33150
117.95,0,1.77,33150
118,0,1.75922330097087,33150
118.05,0,1.74466019417475,33150
118.1,0,1.73339805825243,33160
118.15,0,1.72368932038835,33160.4
118.2,0,1.72596153846154,33180
118.25,0,1.73557692307692,33180
118.3,0,1.74,33180
118.35,0,1.74,33180
118.4,0,1.7422,33180
118.45,0,1.7472,33180
118.5,0,1.75,33179.6
118.55,0,1.75,33160
118.6,0,1.74819047619048,33160.4
118.65,0,1.74342857142857,33180
118.7,0,1.74135922330097,33180.4
118.75,0,1.74621359223301,33200
118.8,0,1.75211538461539,33200
118.85,0,1.76173076923077,33200.2
118.9,0,1.77,33210.4
118.95,0,1.77,33229.6
119,0,1.77,33210
119.05,0,1.77,33210.4
119.1,0,1.77,33230.2
119.15,0,1.77,33239.8
119.2,0,1.77,33230.2
119.25,0,1.76076923076923,33239.8113207547
119.3,0,1.75115384615384,33230.3773584906
