Time,w_f_0,F_0,N1_0
19.85,0,1.75557692307693,33200
19.9,0,1.76519230769231,33200
19.95,0,1.76514563106796,33210
20,0,1.75543689320388,33210
20.05,0,1.75,33210
20.1,0,1.75,33210
20.15,0,1.75333333333334,33230
20.2,0,1.76313725490196,33230
20.25,0,1.77,33230
20.3,0,1.77,33210
20.35,0,1.77,33210
20.4,0,1.77,33210.4
20.45,0,1.76769230769231,33230
20.5,0,1.75326923076923,33230
20.55,0,1.74116504854369,33230.2
20.6,0,1.75572815533981,33239.8
20.65,0,1.77,33230
20.7,0,1.77,33230
20.75,0,1.77,33230.2
20.8,0,1.77,33240
20.85,0,1.77,33240
20.9,0,1.77857142857143,33240
20.95,0,1.78809523809524,33240.8
21,0,1.79,33279.6
21.05,0,1.79,33260
21.1,0,1.78269230769231,33259.6
21.15,0,1.77307692307692,33240.3921568627
21.2,0,1.76333333333333,33260
21.25,0,1.75352941176471,33260
21.3,0,1.74695238095238,33259.6
21.35,0,1.74219047619048,33240
21.4,0,1.74,33240
21.45,0,1.74,33240
21.5,0,1.74728155339806,33240
21.55,0,1.76184466019418,33240.4
21.6,0,1.76580952380952,33260
21.65,0,1.75628571428571,33260
21.7,0,1.75333333333333,33260
21.75,0,1.76313725490196,33259.6
21.8,0,1.76708737864077,33240.4
21.85,0,1.7573786407767,33260
21.9,0,1.74884615384615,33260
21.95,0,1.74403846153846,33259.6
22,0,1.74233009708738,33240
22.05,0,1.7568932038835,33239.8
22.1,0,1.76904761904762,33229.6
22.15,0,1.75952380952381,33210
22.2,0,1.75,33210
22.25,0,1.75,33200
22.3,0,1.75,33199.6
22.35,0,1.75923076923077,33180
22.4,0,1.76884615384615,33179.6
22.45,0,1.77,33160
22.5,0,1.77,33159.8
22.55,0,1.77,33150
22.6,0,1.77,33149.6
22.65,0,1.77730769230769,33130
22.7,0,1.78692307692308,33130
22.75,0,1.78339805825243,33130.3921568627
22.8,0,1.77368932038835,33150
22.85,0,1.76403846153846,33150
22.9,0,1.75442307692308,33150
22.95,0,1.75529411764706,33149.6
23,0,1.76509803921569,33130.4
23.05,0,1.76514563106796,33149.6
23.1,0,1.75543689320388,33130
23.15,0,1.75419047619048,33130.4
23.2,0,1.76371428571429,33149.6
23.25,0,1.76504854368932,33130
23.3,0,1.7504854368932,33130
23.35,0,1.73320388349514,33130
23.4,0,1.70893203883495,33130
23.45,0,1.69533980582525,33130.4
23.5,0,1.71961165048544,33149.6
23.55,0,1.74076923076923,33130
23.6,0,1.74557692307692,33130.4
23.65,0,1.75076190476191,33149.6
23.7,0,1.76028571428571,33130
23.75,0,1.76980952380952,33130
23.8,0,1.77970297029703,33130
23.85,0,1.78960396039604,33130
23.9,0,1.79,33129.8
23.95,0,1.79,33120
24,0,1.78134615384615,33119.6
24.05,0,1.77173076923077,33100
24.1,0,1.76203883495146,33100
24.15,0,1.75233009708738,33100
24.2,0,1.74634615384615,33100
24.25,0,1.74153846153846,33099.6
24.3,0,1.74,33080
24.35,0,1.74,33080
24.4,0,1.74295238095238,33080
24.45,0,1.74771428571429,33079.8
24.5,0,1.75509803921569,33070
24.55,0,1.76490196078432,33070
24.6,0,1.76300970873786,33070.2
